id,reviews,price,stars,yelp_category,state
c4feb884-0667-8505-65e6-72c8dbdf252d,26,3.00,3.50,Women's Clothing,OH
e95fc186-a175-39aa-6b3c-1e3da3086f8d,32,2.00,3.50,Active Life,AZ
92d92dac-a736-9d20-2343-96e72329a2fc,22,1.00,3.50,Active Life,WI
ce40c4bc-6010-840c-a697-ac11b4046718,4,1.00,3.50,Adult Entertainment,AZ
29d74684-7bcc-91e2-2e71-ba00538a362b,147,2.00,4.00,Afghan,AZ
80ceb7a2-8ed3-2b14-8eaa-a4712d004bb8,249,1.00,4.50,Afghan,NV
d19f65f5-61ca-39cc-0b15-d22fe6416d2f,142,2.00,3.50,Afghan,WI
256c7266-47f1-4fc5-9c96-99d99bbd9029,10,1.00,4.50,African,NC
8921d4e6-24be-6daf-1b6b-707ba7bb4053,7,2.00,5.00,African,OH
463332fd-94fc-a3a4-4510-20b7123892b3,16,2.00,1.50,Airports,NV
7a2e04d4-27aa-7a1d-396b-690c8e5a16cb,4514,1.75,3.53,American (New),AZ
809f503c-51c5-6fc8-4d60-deb69a149f6d,4,2.00,3.00,American (New),IL
146fdee1-0967-369d-41bf-694a30bd0da6,5472,1.81,3.54,American (New),NC
195be10d-39a3-44c1-9a38-f0dbb7f32498,26093,1.89,3.54,American (New),NV
81b085bc-6fa4-5cc8-2b11-1a047ca28330,2731,1.81,3.65,American (New),OH
f6208f7f-28d4-88fc-90f9-75ffb5944b35,5684,1.85,3.50,American (New),PA
fa9c4542-5974-1cd7-76f2-d0dbd45464b2,3456,2.14,3.83,American (New),WI
9f80726a-840f-a014-83c7-d5eec1c5801e,4698,1.68,3.38,American (Traditional),AZ
0dc103ba-5ee6-5dda-8352-16d7574432b2,201,1.40,3.40,American (Traditional),IL
86449703-8b4f-721f-53dd-f0a5ab1081ca,3854,1.57,3.32,American (Traditional),NC
ab3d74b2-3310-7e0f-58a8-e75160457356,23143,1.78,3.41,American (Traditional),NV
de4fadee-3bc0-15d5-671b-84e265802af5,2851,1.89,3.33,American (Traditional),OH
ea5abab0-0ff8-7ab7-88e3-dc1e52607c50,2354,1.66,3.66,American (Traditional),PA
c6b3b982-9efb-a3ef-49d5-ef83bef11f3d,2668,1.67,3.62,American (Traditional),WI
231f01c0-8bf1-246a-33d0-c63b5a7245b3,48,2.00,3.50,Antiques,NV
dbb57336-2c92-99a9-493f-b0ea47ab3ade,184,1.50,4.13,Arcades,AZ
b24c10b0-3335-1de2-5a4e-ca135fde7723,174,2.00,3.00,Arcades,NV
c262f813-5944-0b13-9963-e3d0def7a298,201,2.00,4.50,Argentine,NV
6dbacde0-98f5-8841-20e4-3a16307766a8,985,2.00,4.50,Argentine,PA
bfe50585-5272-76ee-4e05-9fbf13421161,20,2.00,4.50,Art Galleries,OH
f4d7c4c5-9cc6-7f9b-a208-72ed93a012b6,41,2.00,3.00,Arts & Entertainment,AZ
614af71f-a377-838e-5249-d4bfe95e460e,517,2.25,3.13,Arts & Entertainment,NC
d28f2d71-9368-7965-778c-66aac8c98ee3,2315,1.90,3.55,Arts & Entertainment,NV
e805c3d5-9d78-81a5-4774-2012da0646ab,243,1.67,3.83,Arts & Entertainment,OH
db0ef052-5b4b-40b3-a2d3-cd80d7de5578,168,1.50,3.25,Arts & Entertainment,PA
10854919-10fa-7429-4501-b4d7cc4d7e01,599,1.14,3.86,Asian Fusion,AZ
62943fee-12f5-157c-5af1-9279fbc76c0e,2005,1.67,3.57,Asian Fusion,NC
76d3fcd2-5f5e-1cca-5659-01eaf41236a0,5786,1.89,3.79,Asian Fusion,NV
4fde2ced-15fe-6d6e-930f-556aa6941db6,670,1.88,3.81,Asian Fusion,OH
6726ee16-8810-3d66-70c7-f71fc84f3a73,309,2.00,3.50,Asian Fusion,PA
faee9fc7-0c45-6790-5242-4f8be9ff7723,726,1.67,3.38,Asian Fusion,WI
ff70fb0a-85ab-9212-73b4-f942311c77a9,3458,2.00,4.00,Automotive,NV
a074dfd4-7adb-0e9f-a682-3c6e3d29a2a5,251,1.25,3.75,Bagels,NC
b754d055-166b-65b3-a24e-aae506e48b5e,1168,1.17,3.75,Bagels,NV
d746ba67-6c4b-2361-0217-543096f77fc8,4,1.00,4.00,Bagels,OH
ab0f7388-3306-64f8-524b-dd2ac4fd0690,18,1.50,2.50,Bagels,PA
9529e61f-07f1-1f4a-6fb3-155a46738c9b,489,1.38,3.56,Bakeries,AZ
d7b22f02-67d8-6031-7fbb-ec2d1aa93fd7,1489,1.67,3.83,Bakeries,NC
fb3f151e-56dc-a09c-9fcd-ccd4ba452ab6,6124,1.81,4.00,Bakeries,NV
9cedb4b7-2933-266c-9ad0-b90a9e992512,244,1.14,4.07,Bakeries,OH
6d8a3574-958d-4c97-6d48-93f077394035,233,1.60,3.70,Bakeries,PA
ff167b51-65a3-a27c-14fa-ffa0d5549c02,107,1.00,4.17,Bakeries,WI
113c16bc-6d20-76f1-a575-a520fc3c87ff,961,1.78,3.94,Barbeque,AZ
bae2b364-389b-7fbc-13ed-dcb783c527e6,75,1.00,3.50,Barbeque,IL
2c1208c8-3f3a-4a7e-82d0-3c4db4b9288b,1218,1.58,3.29,Barbeque,NC
3e21be1c-3b77-9b2d-3e8a-422af0b88284,5281,1.74,3.51,Barbeque,NV
21899c8b-39e6-2343-35dd-668394e040e0,187,1.45,3.50,Barbeque,OH
72d8b5b6-4a8f-7d25-95c9-112cbfcb970c,731,1.80,3.77,Barbeque,PA
686cbfec-2170-7fe8-7090-0829485d7eb8,496,2.00,3.58,Barbeque,WI
58c094ff-a582-4595-5b78-e615c92091b8,1500,1.84,3.39,Bars,AZ
2f4c3a64-5445-9446-0df6-4a2817d50707,112,2.00,3.67,Bars,IL
c778d559-663d-652a-0ff1-4e8838585224,3201,2.03,3.60,Bars,NC
d7dcc9a8-6cb0-88d2-3404-3272282d43ae,23380,2.14,3.66,Bars,NV
fe0711c6-1ff8-53cf-730e-8bca1812a79d,1789,1.83,3.54,Bars,OH
5eeea5db-2dc4-163a-48d6-ac99e709379e,3831,1.82,3.61,Bars,PA
441bdbbb-4fba-64c6-9df7-6a63f7916e43,1101,1.60,3.50,Bars,WI
cdaccff8-0ebe-9e00-9350-a0ef36774dcc,42,1.00,4.00,Basque,NC
55536b97-6d13-8391-86ce-eb2ec3f134d4,13,2.00,5.00,Beauty & Spas,AZ
e683dc10-285f-52fc-9cd3-bfbc7fe2688f,49,2.00,4.00,Beauty & Spas,NV
5670f2bd-96dd-14a2-5a78-6f5a92f89ad6,257,2.00,4.17,Beer Bar,NC
3b49291e-6c85-4710-54df-7576e2742bca,17,2.00,4.50,Beer Bar,NV
05646f23-174a-0887-0acb-dfcf559e10ed,6,1.00,2.50,Beer Bar,WI
44c3004d-3d47-5063-1c6f-3e4d878a0563,155,2.00,3.75,Beer Gardens,NC
9dec5015-4451-6a48-2b3c-30433f6f7d27,113,2.00,3.50,Beer Gardens,OH
b2547b7f-047f-82f0-93cc-d9ce657e92fa,71,1.67,2.67,Beer,AZ
5617a8bd-3136-26d5-9fb7-015beebb264e,834,1.70,3.55,Beer,NC
3f9b9794-29e7-8e4a-4c46-5e772e4013a3,5025,1.75,3.38,Beer,NV
5e4337e9-00d8-93dd-9af1-a50be41b8490,476,1.57,4.00,Beer,OH
805a82b0-101f-61a9-9e7c-03449a2b587e,160,2.33,3.67,Beer,PA
d4dfd4f9-0ec5-4c1b-6979-249167dd7157,66,1.00,3.75,Beer,WI
d3b9e2a2-08ae-3372-8cd3-2d3869608c52,25,1.00,3.00,Belgian,NV
17df4a20-a3eb-9f97-2d18-6d7ce0512731,221,2.00,4.00,Belgian,PA
3d5e9090-849d-13cb-2577-c06a62f80c7d,263,2.00,4.00,Belgian,WI
88c4e276-1f15-01ff-10f3-5ab520867cf0,20,1.00,4.00,Beverage Store,PA
d7914a6d-62f8-73b9-237f-b1e017901aa3,38,2.00,3.50,Books,NC
23c01c39-a3d0-1d9c-64ac-b2687a667639,144,2.00,3.00,Bowling,OH
7b932cb6-6bbc-3b4c-8551-f52862be5a9c,604,2.00,4.50,Brasseries,NV
b9836103-09b6-2b93-0673-82c628c208ff,76,2.00,3.50,Brasseries,PA
69ab3932-67ce-30f2-9f05-4820dc667492,766,2.00,4.17,Brazilian,NV
906565b2-5890-a2b5-6ade-e19b65484074,152,3.00,3.50,Brazilian,WI
8e45965b-5c92-61f3-078f-683288cd9b8b,3433,1.17,3.50,Breakfast & Brunch,AZ
4787e6ee-0afa-3321-988d-0a7e256c2eac,72,1.00,3.75,Breakfast & Brunch,IL
8714d6fd-9cc0-0168-4587-25012e6c109a,2345,1.48,3.52,Breakfast & Brunch,NC
1b9dcc63-283c-9b6f-7872-76e034f70bc4,21031,1.71,3.52,Breakfast & Brunch,NV
42d5569d-3199-00e4-3556-0104d44d48e0,1480,1.17,3.31,Breakfast & Brunch,OH
bf7a10e2-90a0-1cdd-2c3f-99fa9b6e51a5,2597,1.35,3.71,Breakfast & Brunch,PA
322e109e-294f-1375-2e36-daf7d8e60f66,490,1.14,3.79,Breakfast & Brunch,WI
408e9a6d-30f5-764d-6179-6b67812e16e4,243,2.00,3.50,Breweries,AZ
83633473-3cb3-802c-19b6-7a9faf3a758a,413,2.00,3.50,Breweries,NC
