date,American New,American Traditional,Asian Fusion,Bakeries,Barbeque,Bars,Breakfast & Brunch,Buffets,Burgers,Cafes,Caterers,Chinese,Italian,Japanese,Mexican,Other,Pizza
100,1312,199,352,93,41,451,870,299,139,36,185,129,53,544,118,942,237
104,1432,248,444,118,46,555,1043,312,181,38,177,130,117,746,116,1275,261
108,1623,272,502,129,71,647,1091,405,219,32,190,123,134,871,119,1470,276
112,1599,312,444,137,50,644,1012,297,213,37,192,124,122,792,107,1425,253
117,1406,269,444,101,38,542,672,155,173,35,139,128,125,667,96,1237,219
121,1039,210,300,84,21,527,348,63,162,37,125,125,73,524,77,755,246
125,658,138,164,64,8,559,134,22,145,30,110,82,39,313,83,397,197
129,332,96,103,24,7,441,44,15,53,19,144,98,10,223,101,254,182
133,199,83,28,12,3,293,23,7,19,6,97,89,1,175,86,171,138
138,111,63,10,2,2,205,9,3,5,1,105,93,2,76,61,100,130
142,83,43,2,5,1,104,10,3,4,1,103,84,1,18,41,60,96
146,75,39,2,3,0,62,7,4,1,1,94,94,1,3,8,46,60
150,46,16,1,5,1,40,8,2,5,0,49,33,0,3,6,30,18
154,41,45,0,14,0,21,18,4,0,0,25,18,0,0,3,34,4
158,70,120,4,43,2,21,39,6,3,4,25,18,1,7,2,67,4
163,180,287,5,85,0,33,154,32,2,9,36,13,2,8,4,157,6
167,409,543,7,222,3,49,300,70,9,25,62,40,8,5,12,180,9
171,702,837,17,210,19,86,552,133,20,35,111,50,16,7,31,236,19
175,1227,887,135,234,73,191,923,265,124,32,187,101,26,183,88,539,75
179,1684,909,319,180,110,327,1072,343,206,40,284,139,47,444,112,861,157
183,1612,575,340,128,126,387,931,330,205,24,250,131,46,517,106,805,166
188,1131,303,314,87,121,300,658,272,182,34,175,102,27,396,98,667,121
192,849,141,217,69,71,280,450,182,126,37,136,69,8,348,74,571,106
196,785,112,208,65,82,266,395,132,113,29,107,44,10,317,39,483,122
200,853,106,237,70,62,342,516,167,113,30,103,66,31,467,54,664,125
204,1025,196,292,76,127,466,687,205,136,15,103,76,76,620,57,999,156
208,1246,248,392,85,147,581,855,284,156,23,88,104,99,771,94,1224,176
213,1183,247,398,101,89,539,677,198,140,25,95,103,95,685,80,1229,179
217,1085,181,331,96,36,494,486,98,137,35,97,83,83,612,58,987,180
221,783,121,211,63,24,325,232,42,112,39,67,76,51,454,68,591,110
225,479,81,115,38,17,211,83,16,91,11,70,72,18,283,56,372,125
229,263,62,77,21,5,125,42,7,48,3,85,93,7,203,55,245,118
233,117,55,38,10,3,93,22,6,9,3,72,63,4,121,38,122,121
238,66,42,3,1,0,48,10,1,7,0,68,75,1,50,26,61,119
242,45,43,3,1,1,37,9,3,0,1,45,59,0,8,16,21,98
246,32,21,1,0,0,27,1,1,1,1,33,58,0,1,3,25,52
250,14,22,3,4,1,24,8,0,1,0,19,26,0,0,0,24,17
254,35,38,1,10,0,13,10,3,1,6,8,10,2,0,2,35,4
