id,name,address,yelp_category,main_category,sub_category,categories,reviews,price,stars,state
_0x7W6fizaPP76xNBxBLAQ,Stephano's Greek & Mediterranean Grill,6115 S Fort Apache Rd,Greek,Restaurants,Greek,"['Restaurants', 'Greek', 'Mediterranean', 'Middle Eastern', 'Lebanese']",118,2,4,NV
_2trMwFsh5-IqqEcQ-OLVA,Mac's Speed Shop,2414 Sandy Porter Rd,Barbeque,Barbeque,Chicken Wings,"['Barbeque', 'Chicken Wings', 'Restaurants', 'American (Traditional)']",202,2,3.5,NC
_5PJ4GHIXNdUdXtohylKGQ,Lucky's Café,777 Starkweather Ave,Coffee & Tea,Coffee & Tea,Food,"['Coffee & Tea', 'Food', 'Restaurants', 'Desserts', 'Breakfast & Brunch']",627,2,4,OH
_5UAFrD3EDgJO1aZgRxH7w,Price's Chicken Coop,1614 Camden Rd,Event Planning & Services,Event Planning & Services,Caterers,"['Event Planning & Services', 'Caterers', 'Southern', 'Restaurants']",302,1,4,NC
_6Brh4UGrsnakkBKT1H_Qw,Beerhead Bar & Eatery,1156 W 11th St,Beer Gardens,Beer Gardens,Nightlife,"['Beer Gardens', 'Nightlife', 'Beer', 'Wine & Spirits', 'Beer Bar', 'Bars', 'Food', 'American (Traditional)', 'Sandwiches', 'Restaurants']",113,2,3.5,OH
_8VkSb_Mryb6bHQxSWB7Pg,Swish Shabu Shabu,"5115 W Spring Mountain Rd, Ste 121",Japanese,Japanese,Hot Pot,"['Japanese', 'Hot Pot', 'Fondue', 'Restaurants', 'Sushi Bars']",366,2,4,NV
_8yxceldCT7oe0wJC-yDPA,Benjarong Authentic Thai Cuisine,"7425 S Durango Dr, Ste 101",Thai,Thai,Restaurants,"['Thai', 'Restaurants']",156,2,3.5,NV
_DPJ_PHJnXsuhYhsgBA0Xw,Durant's,2611 N Central Ave,Nightlife,Nightlife,Restaurants,"['Nightlife', 'Restaurants', 'Wine Bars', 'Steakhouses', 'Seafood', 'Burgers', 'Bars']",660,3,4,AZ
_euNvs0P14284FXN1vZ_Pw,Crema Cafe,4124 Monona Dr,Breakfast & Brunch,Restaurants,Breakfast & Brunch,"['Restaurants', 'Breakfast & Brunch', 'Food', 'Coffee & Tea', 'Cafes', 'Vegan', 'Sandwiches']",142,1,4,WI
_hML_SleB40KkUrMHOZ_-Q,Rx Boiler Room,3930 Las Vegas Blvd,Bars,Bars,Cocktail Bars,"['Bars', 'Cocktail Bars', 'American (New)', 'American (Traditional)', 'Nightlife', 'Restaurants']",347,3,4,NV
_j2EtQtgLuXGRBfbM5YwZA,Noodle Asia,"The Venetian, 3355 Las Vegas Blvd S",Chinese,Restaurants,Chinese,"['Restaurants', 'Chinese', 'Noodles']",851,2,3.5,NV
_JZ7hXqOZ_MngjPWFgER0w,Pizza People Pub,1326 N Central Ave,Pizza,Pizza,American (Traditional),"['Pizza', 'American (Traditional)', 'Burgers', 'American (New)', 'Restaurants']",280,2,4,AZ
_kb6GT4qawjwq47OsQ52xw,Paradise Garden Buffet,"Flamingo Las Vegas Hotel & Casino, 3555 Las Vegas Boulevard South",Buffets,Restaurants,Buffets,"['Restaurants', 'Buffets']",368,2,2.5,NV
_Kd0kQ8RF70hJ1ykLqCRyQ,Cafe Rio,9595 S Eastern Ave,Mexican,Restaurants,Mexican,"['Restaurants', 'Mexican']",285,1,3.5,NV
